Ticker;Sector;NAME;Year;PL;PT;DIR;LL_Consolidado;PR_all;PS_all;Legal Index;Leverage Index;Governance Index;Global Index;Legal Ranking;Governance Ranking;Leverage Ranking;Global Points;Global Ranking;LPA;Aplicações Financeiras;Caixa e Equivalentes de Caixa;Clientes;Despesas Financeiras;Despesas/Receitas Operacionais;Empréstimos e Financiamentos;Fornecedores;Imobilizado;Intangível;Investimentos;Outras Despesas Operacionais;Passivo Circulante;Passivo Não Circulante;Capacidade Financeira
EVEN3.SA;Consumo Cíclico;EVEN CONSTRUTORA E INCORPORADORA S.A.;2018;1807499008;2933472000;14800000;-140628992;176129000;126943000;-2,107812105;-0,383836284;-10,50195892;-3,775354853;127;124;73;112,75;120;-0,733729127;419233;390658;0;-51394;-364442;705055;90926;12604;1924;20661;-85212;1399971;1533501;809891
ELMD3.SA;Comunicações;ELETROMIDIA S.A.;2020;91917000;923553024;8617527,15;-69805000;7069000;64246000;-2,086526788;-0,900474583;-9,100351619;-3,543469944;165;160;171;165,25;176;-0,744358265;0;86135;77406;-36407;-152280;78245;102599;133662;624632;0;-19090;262857;660696;163541
MGLU3.SA;Consumo Cíclico;MAGAZINE LUIZA S.A.;2022;9726583808;28371537920;59856769;-498975008;1193765000;3393108000;-1,147055445;-0,657171076;-9,336150052;-3,071858005;156;165;140;154,25;162;-0,748004307;304298;2420045;0;-2736458;-9667261;124297;9543257;5466976;4427510;338833;0;14832925;12284219;2724343
ALPK3.SA;Bens Industriais;ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A;2022;425819008;2138187008;9168717,98;-157686000;38115000;195225000;-1,807714176;-0,800850437;-18,19826047;-5,653634815;170;174;167;170,25;176,5;-0,752801757;0;137413;67600;-256245;-241198;556463;139978;608124;1574071;10053;-154005;909510;1228677;205013
ECOR3.SA;Bens Industriais;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;2020;56181000;11037459456;10908782,51;-423988000;239058000;1375478000;-1,308247751;-0,99490997;-39,86666542;-10,86951772;152;170;182;164;173;-0,760354471;114323;1342219;183608;-849567;-777234;1602035;135521;433083;8155441;166;-777230;2518699;8518760;1640150
MOAR3.SA;Financeiro;MONTEIRO ARANHA S.A.;2020;972904000;677609984;10932000;-9345000;1000;1000;-9346;0,435787581;-1,854829857;-4673,354761;183;146;30;135,5;151;-0,762781114;439747;199646;0;-583712;-27926;151417;0;10333;29;827681;-1818;168355;509255;639393
MRFG3.SA;Consumo não Cíclico;MARFRIG GLOBAL FOODS S.A.;2017;2634710016;18667089920;22594752,51;-445236992;88828000;1564232000;-1,284636161;-0,858858021;-20,70532723;-6,033364395;111;119;117;114,5;120;-0,787162939;3188781;1213572;924998;-3383263;-1110170;1858127;2354072;4489952;2843389;21064;0;6021169;12645920;5327351
BIOM3.SA;Saúde;BIOMM S.A.;2012;-21995000;30323000;910000;-14140000;1000;1000;-14141;-1,72535699;-16,53846154;-7075,065955;106;101;108;105,25;108;-0,815506508;0;547;0;-3036;-11836;12966;2135;6854;160;0;-7337;16427;13896;547
AALR3.SA;Saúde;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;2020;1223683968;1316918016;23220871;-92431000;41864000;156292000;-0,591399432;0,929202846;-4,980513909;-1,308527482;159;154;51;130,75;146;-0,823553812;0;229087;242575;0;-174445;262982;80425;508145;964517;9400;-14550;476481;840437;471662
AMER3.SA;Consumo Cíclico;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2014;3079457024;4555508224;23525190;-163312992;40375000;27743000;-6,886637783;-0,324014605;-7,942047737;-5,509834477;109;96;63;94,25;99;-0,833862947;1315849;195349;897640;-934083;-1561851;574549;2145347;474169;2071241;0;-45754;3107329;1448179;2408838
AMER3.SA;Consumo Cíclico;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2018;3537114880;9494079488;40870011;-397913984;149854000;818177000;-1,486342178;-0,627439934;-10,73608703;-3,58405283;126;125;97;118,5;125;-0,873816291;1920738;3119948;155489;-1014388;-1697738;727314;2005607;435499;2966256;0;-45007;3209425;6284654;5196175
SMFT3.SA;Consumo Cíclico;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;2019;2267450880;5146566144;6671532,8;-339272000;5572000;21149000;-17,0419878;-0,559424514;-51,85368088;-21,62427025;152;149;101;138,5;148;-0,890234836;0;1351381;137043;-446079;-643751;163479;163569;4425338;1185860;5292;-46844;1243821;3902745;1488424
ORVR3.SA;Utilidade Pública;ORIZON VALORIZACAO DE RESIDUOS S.A.;2021;369412992;836649984;46548050,87;-55509000;33160000;295271000;-1,187993403;-0,558461723;-2,192509653;-1,281739546;164;163;133;156;168;-0,894914821;0;2917;163362;-125697;-99235;16844;43810;394599;90841;4422;0;189089;647561;166279
EMBR3.SA;Bens Industriais;EMBRAER S.A.;2018;15266994176;28491773952;53512000;-643568000;939415000;1668308000;-1,385760903;-0,464161333;-13,02661085;-4,065573498;124;127;84;114,75;122;-0,9118511;6755298;4963041;2083535;-408037;-2703377;694699;3456814;7612678;7357465;24300;-1200856;11734805;16756969;13801874
BRKM3.SA;Materiais Básicos;BRASKEM S.A.;2012;8663799808;32499777536;29037312,04;-738305024;333218000;4077,159;-181084,2062;-0,73341972;-26,42608018;-90548,89299;107;104;96;103,5;107;-0,915286623;172146;3287622;2326480;-3902499;-1764836;1836028;8897597;21176785;2940966;125735;333767;12656627;19843151;5786248
TASA3.SA;Bens Industriais;TAURUS ARMAS S.A.;2018;-406963008;1328119040;5041789,2;-59862000;121830000;207299000;-1,288771292;-1,306420581;-12,87316598;-4,189282286;122;126;131;125,25;130;-0,925392713;1801;26766;140420;-211683;-261379;113126;94707;144429;75779;192;-78033;535626;792493;168987
PFRM3.SA;Saúde;PROFARMA DISTRIB PROD FARMACEUTICOS S.A.;2016;758956032;1953277056;5536979;-48963000;118905000;170493000;-1,287184811;-0,611444762;-9,842908741;-3,257180781;108;107;89;103;113;-0,926094308;0;205506;527268;-158032;-549089;246314;734908;112068;725072;79823;-38720;1156942;796335;732774
POSI3.SA;Tecnologia da Informação;POSITIVO TECNOLOGIA S.A.;2015;576395008;1342644992;7922602,38;-79881000;43571000;230034000;-1,347257362;-0,570701852;-11,08267185;-3,586972107;97;97;81;93;98;-0,937251405;0;554886;0;-122644;-409109;666976;283081;53203;69741;41521;-4051;1101281;241364;554886
ALPK3.SA;Bens Industriais;ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A;2020;686990016;2010114944;5825392,04;-170668992;25239000;106210000;-2,606901346;-0,658233467;-30,29742596;-9,042365531;168;168;138;160,5;168;-0,940288763;0;42109;49942;-205792;-156627;612693;82511;747749;1650236;33958;-121722;810407;1199708;92051
PRIO3.SA;Petróleo, Gás e Biocombustíveis;PRIO S.A.;2012;3659376896;597091008;43245938;-277566016;1000;1000;-277567,016;5,128675272;-7,418314155;-138784,0804;108;97;5;79,5;92;-0,944108204;870650;37608;0;-21482;-407807;1974;101487;393862;2723411;0;0;164006;433085;908258
DIRR3.SA;Consumo Cíclico;DIRECIONAL ENGENHARIA S.A.;2017;1604315008;2537448960;7610000;-137435008;32731000;196869000;-1,698103856;-0,367744915;-19,0597908;-5,705935857;118;118;72;106,5;112;-0,982173385;70709;413048;702949;-42998;-169328;405234;71174;55265;2707;49501;2984;701791;1835658;1186706
ZAMP3.SA;Consumo Cíclico;ZAMP S.A.;2021;1572720000;2240688128;26142266,9;-273840992;25422000;102334000;-3,675953173;-0,298108478;-11,47502854;-4,781260842;178;175;84;153,75;165;-0,998935815;339218;111590;0;-141561;-1891318;153535;247917;1225502;1577755;0;0;761350;1479338;450808
BIOM3.SA;Saúde;BIOMM S.A.;2018;106089000;199594000;9390635;-42562000;1217000;1000;-42563;-0,468476006;-5,532387852;-21283,00022;132;121;85;117,5;123;-1,004220354;67030;15814;0;-19280;-36919;16622;18915;156272;29991;0;-4315;41255;158339;82844
AMER3.SA;Consumo Cíclico;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2017;3905712896;8717414400;30397774;-411750016;189261000;778678000;-1,528780852;-0,551964296;-14,54540027;-4,538731566;115;113;86;107,25;113,5;-1,004413246;2987229;1469500;414750;-1369502;-1318044;1563958;1766581;469844;2987161;0;-39738;3697406;5020008;4871479
AMER3.SA;Consumo Cíclico;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2013;829673024;5783802880;9851000;-159562000;43353000;23981000;-7,653684167;-0,856552334;-17,1975434;-8,340366016;106;103;104;104,75;108;-1,015842068;1789328;89501;922400;-751437;-1234505;506499;1879664;319636;1542316;0;-63033;2556308;3227495;2801229
BRAP3.SA;Materiais Básicos;BRADESPAR S.A.;2019;9560854528;545246976;14500000;-403207008;6901000;1680709000;-1,239902927;16,5349061;-28,80737986;-3,688069903;138;146;1;105,75;121,5;-1,025719993;0;201185;0;-13634;-415618;0;0;105;967;9343767;-39709;314389;230858;201185
DEXP3.SA;Materiais Básicos;DEXXOS PARTICIPACOES S.A.;2013;52757000;643198976;177000;-111580000;45411000;2223000;-51,1934323;-0,91797717;-631,3954802;-183,6750805;109;110;110;109,5;111;-1,052948531;4673;2425;2368;-78904;92674;155888;57583;171331;823;103143;0;319670;323529;9466
