id,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,start_date,location_city,location_state,location_country,athlete_count,trainer,commute,manual,private,gear_id,average_speed,max_speed,has_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id_str,external_id,pr_count,stravaConnectionId,createdAt,updatedAt,gender,age,score,week,wasCalculated
12102,4505.2,1240,1459,79.0,Ride,ROAD,2024-07-15 23:32:53,,,United States,1,False,False,False,False,b120709,3.633,7.373,False,False,False,133.0,77.8,12686969495,stripped_garmin_ping_355208761201,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.936,2024-08-30 19:37:37.936,male,51,100.0,29,True
12149,25507.3,6814,8434,240.0,Ride,ROAD,2024-06-08 14:01:40,,,United States,1,False,False,False,False,b120709,3.743,8.728,False,False,False,98.2,-9.6,12385083510,stripped_garmin_ping_346370637866,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.938,2024-08-30 19:37:37.938,male,51,100.0,23,True
12154,33424.3,7455,7864,126.0,Ride,ROAD,2024-06-03 14:09:08,,,United States,1,False,False,False,False,b120709,4.483,7.297,False,False,False,71.4,-16.8,12343145983,stripped_garmin_ping_345155649110,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.938,2024-08-30 19:37:37.938,male,51,75.19,23,True
12158,4115.9,903,1015,40.0,Ride,ROAD,2024-05-31 14:34:30,,,United States,1,False,False,False,False,b120709,4.558,7.56,False,False,False,103.8,79.2,12318657577,stripped_garmin_ping_344438260663,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.939,2024-08-30 19:37:37.939,male,51,81.87,22,True
12160,4173.4,885,953,31.0,Ride,ROAD,2024-05-29 16:02:37,,,United States,1,False,False,False,False,b120709,4.716,8.871,False,False,False,116.2,92.0,12303533692,stripped_garmin_ping_343989310698,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.939,2024-08-30 19:37:37.939,male,51,77.56,22,True
12162,4107.3,841,881,42.0,Ride,ROAD,2024-05-29 14:32:25,,,United States,1,False,False,False,False,b120709,4.884,8.292,False,False,False,105.6,79.4,12302860726,stripped_garmin_ping_343972128726,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.939,2024-08-30 19:37:37.939,male,51,72.96,22,True
12166,17485.8,5071,6566,168.0,Ride,ROAD,2024-05-25 14:02:44,,,United States,1,False,False,False,False,b120709,3.448,8.946,False,False,False,37.6,-66.0,12271777577,stripped_garmin_ping_343044459311,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.939,2024-08-30 19:37:37.939,male,51,100.0,21,True
12168,4106.1,834,834,59.0,Ride,ROAD,2024-05-24 16:10:06,,,United States,1,False,False,False,False,b120709,4.923,9.314,False,False,False,140.0,87.0,12263790109,stripped_garmin_ping_342817321934,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.939,2024-08-30 19:37:37.939,male,51,71.44,21,True
12179,2816.4,604,604,24.0,Ride,ROAD,2024-05-22 02:27:18,,,United States,1,False,False,False,False,b120709,4.663,7.866,False,False,False,112.6,98.2,12243931067,stripped_garmin_ping_342207266457,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.94,2024-08-30 19:37:37.94,male,51,79.28,21,True
12181,5096.1,1257,1329,49.0,Ride,ROAD,2024-05-22 00:34:54,,,United States,1,False,False,False,False,b120709,4.054,7.387,False,False,False,84.6,61.2,12243552562,stripped_garmin_ping_342194218193,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.94,2024-08-30 19:37:37.94,male,51,98.52,21,True
12184,6396.9,1485,1634,28.0,Ride,ROAD,2024-05-18 23:40:09,,,United States,1,False,False,False,False,b120709,4.308,8.046,False,False,False,138.0,89.8,12218151032,stripped_garmin_ping_341472460961,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.94,2024-08-30 19:37:37.94,male,51,89.71,20,True
12185,2492.5,721,1193,33.0,Ride,ROAD,2024-05-18 22:50:55,,,United States,1,False,False,False,False,b120709,3.457,4.783,False,False,False,134.2,106.6,12217917784,stripped_garmin_ping_341463563690,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.94,2024-08-30 19:37:37.94,male,51,100.0,20,True
12186,3853.8,1119,1138,41.0,Ride,ROAD,2024-05-18 22:23:13,,,United States,1,False,False,False,False,b120709,3.444,6.924,False,False,False,85.4,63.0,12217818770,stripped_garmin_ping_341459496804,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.94,2024-08-30 19:37:37.94,male,51,100.0,20,True
12187,36585.0,8582,10725,645.0,Ride,ROAD,2024-05-18 14:55:36,,,United States,1,False,False,False,False,b120709,4.263,11.255,False,False,False,1497.0,1201.4,12216898118,stripped_garmin_ping_341426420981,5,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.94,2024-08-30 19:37:37.94,male,51,71.13,20,True
12191,14130.4,4635,5933,139.0,Ride,ROAD,2024-05-16 14:01:28,,,United States,1,False,False,False,False,b120709,3.049,7.447,False,False,False,118.0,71.6,12199517581,stripped_garmin_ping_340928128555,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.94,2024-08-30 19:37:37.94,male,51,100.0,20,True
12192,28542.3,6544,13321,204.0,Ride,ROAD,2024-05-15 17:33:33,,,United States,1,False,False,False,False,b120709,4.362,12.504,False,False,False,134.4,21.4,12194275228,stripped_garmin_ping_340755928124,1,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.94,2024-08-30 19:37:37.94,male,51,78.49,20,True
12193,4194.9,861,878,24.0,Ride,ROAD,2024-05-15 02:35:47,,,United States,1,False,False,False,False,b120709,4.872,8.26,False,False,False,100.4,74.8,12187695153,stripped_garmin_ping_340571652409,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.94,2024-08-30 19:37:37.94,male,51,73.22,20,True
12195,4080.7,892,892,41.0,Ride,ROAD,2024-05-15 01:09:37,,,United States,1,False,False,False,False,b120709,4.575,7.633,False,False,False,103.8,79.4,12187391381,stripped_garmin_ping_340561469151,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.94,2024-08-30 19:37:37.94,male,51,81.87,20,True
12199,21124.8,4888,5168,182.0,Ride,ROAD,2024-05-12 00:05:23,,,United States,1,False,False,False,False,b120709,4.322,10.03,False,False,False,94.8,36.0,12163001402,stripped_garmin_ping_339856721118,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.941,2024-08-30 19:37:37.941,male,51,82.1,19,True
12202,21873.7,5882,7757,112.0,Ride,ROAD,2024-05-09 13:56:51,,,United States,1,False,False,False,False,b120709,3.719,6.418,False,False,False,88.6,-2.0,12163001319,stripped_garmin_ping_339856718918,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.941,2024-08-30 19:37:37.941,male,51,100.0,19,True
