id_atl,ano,data,qtd_tr,avg_tr,dsv_tr,pr1,tr1,pr2,tr2,pr3,tr3,pr4,tr4,pr5,tr5,pr6,tr6,pr7,tr7,pr8,tr8,pr9,tr9,pr10,tr10,pr11,tr11,pr12,tr12,pr13,tr13,pr14,tr14,pr15,tr15,pr16,tr16,pr17,tr17,pr18,tr18,pr19,tr19,pr20,tr20,pr21,tr21,pr22,tr22,pr23,tr23,pr24,tr24,pr25,tr25,pr26,tr26,pr27,tr27,pr28,tr28,pr29,tr29,pr30,tr30,pr31,tr31,pr32,tr32,pr33,tr33,pr34,tr34,pr35,tr35,pr36,tr36,pr37,tr37,pr38,tr38,pr39,tr39,pr40,tr40,pr41,tr41,pr42,tr42,pr43,tr43,pr44,tr44,pr45,tr45,pr46,tr46,pr47,tr47,pr48,tr48,pr49,tr49,pr50,tr50,pr51,tr51,pr52,tr52
RUN,2024,2024-08-29 16:46:37,132,41.03318181818183,7.999035483351218,41.82125,3,41.99313665771484,3,38.574344549039004,3,41.16465235516338,3,37.295167201890834,3,38.004162023010196,3,43.43539692883621,3,40.205997584367736,3,42.8079692424504,3,41.857571633018765,3,43.083267450735335,3,42.963134878567914,3,41.39288865324063,3,41.84181205065854,3,38.148329168855575,3,43.42205232738738,3,45.29631508919227,3,47.56113084365189,4,44.325413242719144,3,41.239072196481,3,42.868683946526204,3,43.72158860788939,3,45.90766803828386,4,45.222069270800134,3,48.06678466306633,3,48.17506969162355,3,43.696300402461375,3,41.57953306890282,3,40.66984003911555,3,43.11324177862022,3,42.07063342549757,3,41.83331965020088,3,40.96988428588746,3,41.59846290635228,3,40.45780964916118,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
ROAD,2024,2024-08-21 15:00:49,74,29.537567567567564,12.572488176496229,24.4125,3,33.73709960937501,3,33.561599456787114,3,33.07419467916489,3,36.723803424286324,3,35.677495196625486,3,33.19389560050693,3,26.10851883134029,3,26.56721893476036,3,27.19438868334284,3,26.678560816099363,3,27.28952498200869,3,29.51537569249888,3,26.792045326286615,3,28.896945078128525,3,28.691224890077244,3,30.028378525526406,3,25.745834349984456,3,26.84484455061276,3,26.712736312705665,3,26.83377984625571,3,32.44074466627109,3,27.88148611388727,3,28.789170314686224,3,30.228628830420536,4,31.740060271941566,5,34.329219404615536,5,36.12845358323087,4,35.845925757435445,3,30.104406175363984,3,29.20471986309914,3,28.75341266914293,3,30.371859357712545,3,28.05587943314897,3,29.45867340480642,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
SWIM,2024,,3,50.0,33.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
TRAIL,2024,2024-08-25 17:26:42,5,58.21,33.19663235932224,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,100.0,3,100.0,4,88.21000000000001,4,92.6205,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
MTB,2024,2024-08-28 14:39:04,6,36.163333333333334,27.586933299823105,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,24.9375,3,25.980781250000003,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
