product_id;product;description;date_period;mes;ano;cost_real;qtd_real;cost_unit;dias_uteis;qtd_dia;qtd_dia_10000;varia_dia_media;varia_dia_abs;qtd_med;desv_pad
1027;67373V;LUBRAX GRAXA AUTOLITH 2 TB-170KG;01/04/2024;4;2024;31032;6;5172;22;0,27273;2727;14318;15000;5,33333;2,80476
1027;67373V;LUBRAX GRAXA AUTOLITH 2 TB-170KG;01/05/2024;5;2024;47050;9;5227;22;0,40909;4090;15000;15000;5,33333;2,80476
1027;67373V;LUBRAX GRAXA AUTOLITH 2 TB-170KG;01/06/2024;6;2024;42276;8;5284;20;0,40000;4000;9777;8888;5,33333;2,80476
1028;67374W;LUBRAX GRAXA CHASSIS 2BD-20KG;01/01/2024;1;2024;7659;17;450;22;0,77273;7727;0;0;17,50000;7,39594
1028;67374W;LUBRAX GRAXA CHASSIS 2BD-20KG;01/02/2024;2;2024;11996;27;444;19;1,42105;14210;18390;15882;17,50000;7,39594
1028;67374W;LUBRAX GRAXA CHASSIS 2BD-20KG;01/03/2024;3;2024;3659;8;457;21;0,38095;3809;2680;2962;17,50000;7,39594
1028;67374W;LUBRAX GRAXA CHASSIS 2BD-20KG;01/04/2024;4;2024;4500;10;450;22;0,45455;4545;11931;12500;17,50000;7,39594
1028;67374W;LUBRAX GRAXA CHASSIS 2BD-20KG;01/05/2024;5;2024;9133;20;456;22;0,90909;9090;20000;20000;17,50000;7,39594
1028;67374W;LUBRAX GRAXA CHASSIS 2BD-20KG;01/06/2024;6;2024;10591;23;460;20;1,15000;11500;12650;11500;17,50000;7,39594
1029;67375X;LUBRAX GRAXA CHASSIS 2 TB-170KG;01/01/2024;1;2024;0;0;0;22;0,00000;0;0;0;0,83333;0,75277
1029;67375X;LUBRAX GRAXA CHASSIS 2 TB-170KG;01/02/2024;2;2024;7061;2;3530;19;0,10526;1052;0;0;0,83333;0,75277
1029;67375X;LUBRAX GRAXA CHASSIS 2 TB-170KG;01/03/2024;3;2024;0;0;0;21;0,00000;0;0;0;0,83333;0,75277
1029;67375X;LUBRAX GRAXA CHASSIS 2 TB-170KG;01/04/2024;4;2024;3700;1;3700;22;0,04545;454;0;0;0,83333;0,75277
1029;67375X;LUBRAX GRAXA CHASSIS 2 TB-170KG;01/05/2024;5;2024;3050;1;3050;22;0,04545;454;10000;10000;0,83333;0,75277
1029;67375X;LUBRAX GRAXA CHASSIS 2 TB-170KG;01/06/2024;6;2024;3780;1;3780;20;0,05000;500;11000;10000;0,83333;0,75277
1030;67475T;LUBRAX GL-5 SAE 901-LITRO;01/01/2024;1;2024;93814;161;582;22;7,31818;73181;0;0;133,83333;24,05341
1030;67475T;LUBRAX GL-5 SAE 901-LITRO;01/02/2024;2;2024;85597;147;582;19;7,73684;77368;10572;9130;133,83333;24,05341
1030;67475T;LUBRAX GL-5 SAE 901-LITRO;01/03/2024;3;2024;75027;131;572;21;6,23810;62380;8062;8911;133,83333;24,05341
1030;67475T;LUBRAX GL-5 SAE 901-LITRO;01/04/2024;4;2024;59420;106;560;22;4,81818;48181;7723;8091;133,83333;24,05341
1030;67475T;LUBRAX GL-5 SAE 901-LITRO;01/05/2024;5;2024;84691;153;553;22;6,95455;69545;14433;14433;133,83333;24,05341
1030;67475T;LUBRAX GL-5 SAE 901-LITRO;01/06/2024;6;2024;58860;105;560;20;5,25000;52500;7549;6862;133,83333;24,05341
1031;67476U;LUBRAX GL-5 SAE 80W90 1-LITRO;01/01/2024;1;2024;40488;63;642;22;2,86364;28636;0;0;52,00000;13,71131
1031;67476U;LUBRAX GL-5 SAE 80W90 1-LITRO;01/02/2024;2;2024;25613;41;624;19;2,15789;21578;7535;6507;52,00000;13,71131
1031;67476U;LUBRAX GL-5 SAE 80W90 1-LITRO;01/03/2024;3;2024;19662;32;614;21;1,52381;15238;7061;7804;52,00000;13,71131
1031;67476U;LUBRAX GL-5 SAE 80W90 1-LITRO;01/04/2024;4;2024;41401;69;600;22;3,13636;31363;20582;21562;52,00000;13,71131
1031;67476U;LUBRAX GL-5 SAE 80W90 1-LITRO;01/05/2024;5;2024;31813;55;578;22;2,50000;25000;7971;7971;52,00000;13,71131
1031;67476U;LUBRAX GL-5 SAE 80W90 1-LITRO;01/06/2024;6;2024;31000;52;596;20;2,60000;26000;10400;9454;52,00000;13,71131
1032;67477V;LUBRAX GL-5 SAE 85W140 1-LITRO;01/01/2024;1;2024;72664;115;631;22;5,22727;52272;0;0;85,50000;17,37527
1032;67477V;LUBRAX GL-5 SAE 85W140 1-LITRO;01/02/2024;2;2024;51430;82;627;19;4,31579;43157;8256;7130;85,50000;17,37527
