product_id;product;description;date_period;mes;ano;cost_real;qtd_real;cost_unit
1060;70405V;LUBRAX ESSENCIAL 2T API TC 200-ML;01/01/2024;1;2024;0;0;0
1061;70741T;LUBRAX HYDRA 68 TB-200L;01/01/2024;1;2024;71970,36;22;3271
1062;70975T;LUBRAX GEAR 220BD-20L;01/01/2024;1;2024;8195,56;14;585
1063;70976U;LUBRAX COMPSOR AC 150 BD-20L;01/01/2024;1;2024;0;0;0
1064;71589J;LUBRAX GEAR 320 BD-20L;01/01/2024;1;2024;0;0;0
1065;71764C;LUBRAX NAUTICA TECNO 1-LITRO;01/01/2024;1;2024;769;1;769
1066;71765D;LUBRAX COMPSOR RF 68BD-20L;01/01/2024;1;2024;20063;36;557
1067;71766E;LUBRAX COMPSOR RF 68 TB-200L;01/01/2024;1;2024;32620,3;6;5436
1068;71767F;LUBRAX COMPSOR AC 46 BD-20L;01/01/2024;1;2024;0;0;0
1069;71768G;LUBRAX GRAXA LITH EP 2BD-20KG;01/01/2024;1;2024;8404,75;12;700
1070;71769H;LUBRAX GRAXA LITH EP 2 TB-170KG;01/01/2024;1;2024;5698;1;5698
1071;72665A;LUBRAX UTILE PE 38 BD-20L;01/01/2024;1;2024;0;0;0
1072;73467U;LUBRAX AVANTE 10W40 CI-43-LITROS;01/01/2024;1;2024;0;0;0
1073;73469W;LUBRAX GRANS THF 20W303-LITROS;01/01/2024;1;2024;2482,4;5;496
1074;73470X;LUBRAX TOP TURBO 15W40 CI-4 3-LITROS;01/01/2024;1;2024;264528,3;617;428
1075;73472Z;LUBRAX TURBO VIGOROS 20W50 CH4 3-LITROS;01/01/2024;1;2024;32694,86;68;480
1076;75919P;LUBRAX ESSENCIAL 4T 20W50 SL TB-200L;01/01/2024;1;2024;0;0;0
1077;79128S;LUBRAX HYDRA 683-LITROS;01/01/2024;1;2024;18468,47;53;348
1078;83963P;LUBRAX HYDRA XP 46BD-20L;01/01/2024;1;2024;18661,76;42;444
1079;83964Q;LUBRAX HYDRA XP 100 BD-20L;01/01/2024;1;2024;0;0;0
1080;83965R;LUBRAX HYDRA XP 32 BD-20L;01/01/2024;1;2024;1654;4;413
1081;83966S;LUBRAX GL-5 SAE 90 TB-200L;01/01/2024;1;2024;4380;1;4380
1082;83969V;LUBRAX GEAR 460 BD-20L;01/01/2024;1;2024;10329,2;16;645
1083;85522N;LUBRAX SUPERA 5W40 SINTETICO TB-200L;01/01/2024;1;2024;0;0;0
1084;85523O;LUBRAX TECNO 10W40 SN500-ML;01/01/2024;1;2024;1112,23;2;556
1085;85524P;LUBRAX TECNO 10W40 SN SEMI 1-LITRO;01/01/2024;1;2024;98371,04;159;618
1086;85525Q;LUBRAX TECNO 10W40 SN3-LITROS;01/01/2024;1;2024;5267,92;11;478
1087;85526R;LUBRAX TECNO 10W40 SN TB-200L;01/01/2024;1;2024;4908,7;1;4908
1088;85529U;LUBRAX TECNO MOTO 10W40 SL1-LITRO;01/01/2024;1;2024;0;0;0
1089;85538D;LUBRAX TOP TURBO 15W40 CI-4 TB-1000L;01/01/2024;1;2024;0;0;0
1090;85545K;LUBRAXGEARPAO150BD-20L;01/01/2024;1;2024;0;0;0
